ip,endpoint,status,timestamp,execution_time,rows_scanned,joins_count,line_number,reason
172.16.105.45,/search,999,2026-03-23 16:03:37.492067,496,478.0,,474,Invalid status
172.16.173.22,/checkout,200,2026-03-23 16:03:38.964497,-817,,,492,Invalid execution_time
172.16.163.118,/profile,200,2026-03-23 16:03:39.426309,-415,,4.0,498,Invalid execution_time
10.0.236.138,/checkout,999,2026-03-23 16:03:43.367427,482,,,541,Invalid status
192.168.139.49,/login,200,2026-03-23 16:03:43.791125,-367,,,548,Invalid execution_time
192.168.72.248,/api/data,404,2026-03-23 16:03:45.969374,564,-100.0,1.0,572,Invalid rows_scanned
172.16.58.190,/search,999,2026-03-23 16:03:47.227591,813,,,585,Invalid status
10.0.58.200,/search,200,2026-03-23 16:03:47.750595,-678,1685.0,4.0,593,Invalid execution_time
172.16.234.219,/login,200,2026-03-23 16:03:47.937484,-484,142.0,,596,Invalid execution_time
172.16.23.178,/checkout,999,2026-03-23 16:03:48.329187,339,3673.0,,598,Invalid status
172.16.79.255,/profile,200,2026-03-23 16:03:50.052279,-562,,,614,Invalid execution_time
10.0.131.130,/api/data,999,2026-03-23 16:03:51.637959,385,,,634,Invalid status
172.16.104.174,/profile,500,2026-03-23 16:03:51.936447,-635,3830.0,,638,Invalid execution_time
192.168.168.120,/profile,999,2026-03-23 16:03:51.936447,488,3476.0,4.0,639,Invalid status
10.0.90.54,/login,999,2026-03-23 16:03:52.835452,483,,3.0,647,Invalid status
192.168.21.63,/login,404,2026-03-23 16:03:53.168164,372,-100.0,4.0,653,Invalid rows_scanned
172.16.109.190,/checkout,200,2026-03-23 16:03:53.357051,739,-100.0,5.0,656,Invalid rows_scanned
192.168.201.64,/checkout,999,2026-03-23 16:03:55.377090,271,2062.0,4.0,681,Invalid status
172.16.205.167,/search,999,2026-03-23 16:03:56.634286,613,4055.0,,697,Invalid status
10.0.92.197,/profile,999,2026-03-23 16:03:57.509122,710,467.0,,708,Invalid status
10.0.144.140,/checkout,999,2026-03-23 16:03:57.509122,522,,,709,Invalid status
172.16.232.93,/profile,200,2026-03-23 16:03:58.039455,651,-100.0,3.0,717,Invalid rows_scanned
172.16.15.48,/profile,999,2026-03-23 16:03:58.039455,369,,4.0,718,Invalid status
10.0.220.140,/login,999,2026-03-23 16:03:59.427796,416,2781.0,,733,Invalid status
192.168.124.173,/profile,999,2026-03-23 16:04:00.526955,381,,3.0,740,Invalid status
172.16.220.172,/search,404,2026-03-23 16:04:00.754307,-547,2570.0,3.0,744,Invalid execution_time
192.168.69.68,/search,404,2026-03-23 16:04:00.754307,200,-100.0,1.0,745,Invalid rows_scanned
172.16.130.249,/login,200,2026-03-23 16:04:02.240702,673,-100.0,2.0,754,Invalid rows_scanned
172.16.151.160,/login,999,2026-03-23 16:04:02.662109,720,2072.0,,762,Invalid status
172.16.32.6,/api/data,999,2026-03-23 16:04:02.662109,606,,1.0,763,Invalid status
172.16.197.249,/search,999,2026-03-23 16:04:03.447064,644,2658.0,,777,Invalid status
172.16.152.80,/checkout,200,2026-03-23 16:04:03.919913,621,-100.0,2.0,782,Invalid rows_scanned
10.0.183.4,/login,404,2026-03-23 16:04:04.184193,431,-100.0,4.0,787,Invalid rows_scanned
192.168.237.133,/api/data,404,2026-03-23 16:04:04.514184,-491,,4.0,790,Invalid execution_time
172.16.212.189,/checkout,999,2026-03-23 16:04:04.990846,585,,,794,Invalid status
10.0.14.175,/login,999,2026-03-23 16:04:05.318535,606,3706.0,,796,Invalid status
10.0.121.243,/checkout,500,2026-03-23 16:04:05.928333,500,-100.0,,805,Invalid rows_scanned
10.0.163.190,/checkout,200,2026-03-23 16:04:06.167490,585,-100.0,5.0,806,Invalid rows_scanned
10.0.221.129,/api/data,200,2026-03-23 16:04:06.475580,-410,,4.0,814,Invalid execution_time
10.0.163.141,/api/data,200,2026-03-23 16:04:06.811985,-239,4334.0,,822,Invalid execution_time
192.168.249.41,/search,200,2026-03-23 16:04:07.667634,289,-100.0,,827,Invalid rows_scanned
10.0.28.147,/search,999,2026-03-23 16:04:07.667634,748,3886.0,,828,Invalid status
192.168.232.10,/profile,999,2026-03-23 16:04:07.798556,272,568.0,,833,Invalid status
192.168.152.248,/profile,200,2026-03-23 16:04:09.176682,-468,248.0,,845,Invalid execution_time
10.0.129.91,/profile,200,2026-03-23 16:04:11.076103,-236,,,859,Invalid execution_time
10.0.127.14,/search,200,2026-03-23 16:04:11.191536,715,-100.0,,861,Invalid rows_scanned
192.168.34.214,/checkout,404,2026-03-23 16:04:11.670606,540,-100.0,4.0,866,Invalid rows_scanned
172.16.148.228,/search,999,2026-03-23 16:04:11.670606,521,1137.0,1.0,868,Invalid status
10.0.35.50,/search,200,2026-03-23 16:04:11.921609,424,-100.0,,869,Invalid rows_scanned
172.16.237.15,/login,200,2026-03-23 16:04:11.921609,940,-100.0,,871,Invalid rows_scanned
172.16.238.125,/checkout,404,2026-03-23 16:04:13.891685,-769,,,896,Invalid execution_time
192.168.128.198,/checkout,200,2026-03-23 16:04:14.993818,363,-100.0,1.0,910,Invalid rows_scanned
192.168.163.164,/login,200,2026-03-23 16:04:15.640324,269,-100.0,,920,Invalid rows_scanned
192.168.34.135,/profile,200,2026-03-23 16:04:15.835055,-418,3230.0,3.0,921,Invalid execution_time
10.0.241.54,/search,200,2026-03-23 16:04:16.141064,-637,1921.0,4.0,922,Invalid execution_time
192.168.34.182,/checkout,200,2026-03-23 16:04:16.326043,-192,,2.0,927,Invalid execution_time
172.16.100.65,/profile,200,2026-03-23 16:04:17.573877,-874,835.0,4.0,942,Invalid execution_time
172.16.118.203,/api/data,200,2026-03-23 16:04:19.759213,-967,4544.0,,966,Invalid execution_time
10.0.132.227,/profile,200,2026-03-23 16:04:20.349048,490,-100.0,,974,Invalid rows_scanned
172.16.8.53,/checkout,200,2026-03-23 16:04:21.066903,-546,,4.0,984,Invalid execution_time
10.0.136.136,/search,200,2026-03-23 16:04:21.624983,-375,4095.0,,993,Invalid execution_time
10.0.76.33,/api/data,200,2026-03-23 16:04:22.239997,313,-100.0,2.0,1001,Invalid rows_scanned
172.16.43.17,/profile,999,2026-03-23 16:04:23.583332,500,3122.0,1.0,1012,Invalid status
192.168.173.243,/login,200,2026-03-23 16:04:23.691345,-148,,3.0,1017,Invalid execution_time
172.16.159.25,/profile,200,2026-03-23 16:04:23.691345,637,-100.0,4.0,1020,Invalid rows_scanned
192.168.119.42,/api/data,999,2026-03-23 16:04:23.944451,432,,,1021,Invalid status
172.16.28.36,/api/data,500,2026-03-23 16:04:23.944451,-580,,,1022,Invalid execution_time
172.16.56.184,/search,200,2026-03-23 16:04:24.809180,-534,3019.0,5.0,1030,Invalid execution_time
192.168.183.30,/login,200,2026-03-23 16:04:26.442152,-171,1466.0,3.0,1043,Invalid execution_time
192.168.167.33,/login,999,2026-03-23 16:04:26.442152,311,,3.0,1045,Invalid status
172.16.194.83,/api/data,200,2026-03-23 16:04:26.442152,-720,4692.0,,1047,Invalid execution_time
10.0.12.96,/login,200,2026-03-23 16:04:27.690248,-459,3513.0,1.0,1066,Invalid execution_time
172.16.249.85,/profile,200,2026-03-23 16:04:27.874613,-682,204.0,,1069,Invalid execution_time
192.168.185.163,/profile,999,2026-03-23 16:04:28.671312,257,,,1082,Invalid status
10.0.177.113,/login,999,2026-03-23 16:04:28.945753,529,299.0,,1083,Invalid status
192.168.29.219,/search,200,2026-03-23 16:04:29.048787,439,-100.0,,1084,Invalid rows_scanned
10.0.18.22,/profile,999,2026-03-23 16:04:30.158117,339,1197.0,5.0,1102,Invalid status
10.0.151.10,/profile,200,2026-03-23 16:04:30.514717,-746,230.0,,1106,Invalid execution_time
192.168.239.33,/api/data,200,2026-03-23 16:04:31.174811,124,-100.0,4.0,1110,Invalid rows_scanned
192.168.174.88,/login,999,2026-03-23 16:04:31.174811,842,3246.0,4.0,1111,Invalid status
172.16.234.137,/search,200,2026-03-23 16:04:31.444304,478,-100.0,,1112,Invalid rows_scanned
10.0.208.28,/checkout,200,2026-03-23 16:04:32.235445,-496,1501.0,2.0,1125,Invalid execution_time
172.16.142.209,/login,999,2026-03-23 16:04:32.669517,731,1502.0,5.0,1131,Invalid status
10.0.16.105,/profile,200,2026-03-23 16:04:33.274417,-637,4818.0,,1136,Invalid execution_time
10.0.211.66,/search,999,2026-03-23 16:04:33.819405,407,2692.0,5.0,1146,Invalid status
192.168.45.91,/profile,999,2026-03-23 16:04:34.169531,253,954.0,2.0,1148,Invalid status
192.168.81.87,/api/data,200,2026-03-23 16:04:34.169531,571,-100.0,,1151,Invalid rows_scanned
172.16.172.111,/search,999,2026-03-23 16:04:34.565010,570,1197.0,1.0,1152,Invalid status
10.0.183.131,/checkout,999,2026-03-23 16:04:35.861420,590,,3.0,1167,Invalid status
172.16.11.67,/login,999,2026-03-23 16:04:36.195131,453,1003.0,,1174,Invalid status
172.16.226.50,/profile,999,2026-03-23 16:04:36.672141,483,,,1179,Invalid status
10.0.58.225,/profile,404,2026-03-23 16:04:36.672141,-428,,,1180,Invalid execution_time
192.168.93.29,/login,500,2026-03-23 16:04:37.297225,-384,,,1182,Invalid execution_time
172.16.188.220,/checkout,999,2026-03-23 16:04:37.733152,610,,,1187,Invalid status
172.16.168.64,/search,404,2026-03-23 16:04:38.198663,-796,,5.0,1193,Invalid execution_time
10.0.43.175,/checkout,404,2026-03-23 16:04:38.495288,-259,4253.0,,1195,Invalid execution_time
172.16.27.179,/search,999,2026-03-23 16:04:38.729131,827,,,1200,Invalid status
10.0.29.159,/profile,999,2026-03-23 16:04:39.243926,571,2195.0,2.0,1203,Invalid status
10.0.114.199,/profile,200,2026-03-23 16:04:41.247295,-416,,2.0,1227,Invalid execution_time
10.0.24.176,/search,999,2026-03-23 16:04:42.828194,250,4805.0,,1236,Invalid status
192.168.71.234,/profile,999,2026-03-23 16:04:43.706096,384,3439.0,4.0,1244,Invalid status
10.0.129.205,/checkout,999,2026-03-23 16:04:43.823562,729,,,1248,Invalid status
10.0.10.79,/login,200,2026-03-23 16:04:44.186700,-621,3263.0,,1252,Invalid execution_time
172.16.1.194,/checkout,404,2026-03-23 16:04:44.695308,-487,3771.0,5.0,1258,Invalid execution_time
192.168.88.138,/api/data,200,2026-03-23 16:04:46.245680,-339,1020.0,,1278,Invalid execution_time
10.0.89.71,/checkout,500,2026-03-23 16:04:48.055075,-421,991.0,1.0,1294,Invalid execution_time
192.168.7.46,/search,200,2026-03-23 16:04:51.130259,-267,4667.0,4.0,1320,Invalid execution_time
192.168.158.159,/search,999,2026-03-23 16:04:52.009327,320,4017.0,4.0,1328,Invalid status
192.168.113.219,/checkout,999,2026-03-23 16:04:52.288308,408,232.0,3.0,1332,Invalid status
192.168.222.112,/profile,999,2026-03-23 16:04:53.070489,339,,,1338,Invalid status
10.0.149.160,/api/data,200,2026-03-23 16:04:53.070489,220,-100.0,1.0,1340,Invalid rows_scanned
192.168.149.170,/search,999,2026-03-23 16:04:53.284268,497,,,1342,Invalid status
172.16.15.136,/profile,200,2026-03-23 16:04:53.780020,643,-100.0,4.0,1353,Invalid rows_scanned
10.0.13.155,/api/data,999,2026-03-23 16:04:54.176140,418,,,1357,Invalid status
192.168.248.10,/profile,200,2026-03-23 16:04:55.410683,368,-100.0,2.0,1363,Invalid rows_scanned
10.0.185.8,/login,200,2026-03-23 16:04:59.669480,861,-100.0,1.0,1415,Invalid rows_scanned
192.168.171.10,/search,200,2026-03-23 16:05:00.692191,585,-100.0,,1426,Invalid rows_scanned
192.168.91.17,/api/data,200,2026-03-23 16:05:00.985121,-419,1455.0,3.0,1427,Invalid execution_time
10.0.176.89,/checkout,200,2026-03-23 16:05:00.985121,543,-100.0,,1428,Invalid rows_scanned
192.168.23.86,/profile,200,2026-03-23 16:05:01.253239,238,-100.0,,1434,Invalid rows_scanned
192.168.208.14,/search,999,2026-03-23 16:05:01.552297,378,,4.0,1436,Invalid status
10.0.135.133,/login,200,2026-03-23 16:05:02.117949,-611,4089.0,,1443,Invalid execution_time
10.0.219.252,/search,999,2026-03-23 16:05:02.338176,545,,2.0,1444,Invalid status
192.168.216.30,/profile,200,2026-03-23 16:05:03.256538,-21,,3.0,1455,Invalid execution_time
10.0.101.223,/checkout,999,2026-03-23 16:05:03.804137,617,,,1466,Invalid status
192.168.77.140,/checkout,999,2026-03-23 16:05:04.185412,483,,3.0,1470,Invalid status
172.16.231.185,/checkout,200,2026-03-23 16:05:04.525864,806,-100.0,,1473,Invalid rows_scanned
192.168.164.156,/search,200,2026-03-23 16:05:05.331789,-107,,4.0,1483,Invalid execution_time
172.16.159.225,/search,200,2026-03-23 16:05:05.331789,-626,1698.0,,1486,Invalid execution_time
192.168.177.72,/checkout,200,2026-03-23 16:05:05.331789,-383,344.0,,1487,Invalid execution_time
192.168.32.23,/profile,200,2026-03-23 16:05:05.821465,-403,,5.0,1489,Invalid execution_time
192.168.248.166,/api/data,999,2026-03-23 16:05:06.164755,350,1896.0,3.0,1496,Invalid status
192.168.248.143,/login,200,2026-03-23 16:05:07.540190,-423,4519.0,,1514,Invalid execution_time
172.16.77.125,/login,200,2026-03-23 16:05:08.236073,810,-100.0,2.0,1519,Invalid rows_scanned
172.16.53.138,/checkout,999,2026-03-23 16:05:09.103618,466,,5.0,1529,Invalid status
10.0.13.99,/login,200,2026-03-23 16:05:09.333809,-553,620.0,,1534,Invalid execution_time
172.16.24.121,/api/data,200,2026-03-23 16:05:10.241525,546,-100.0,,1544,Invalid rows_scanned
172.16.54.191,/api/data,200,2026-03-23 16:05:10.898472,-751,2877.0,,1556,Invalid execution_time
172.16.146.214,/search,999,2026-03-23 16:05:11.558740,-719,4079.0,3.0,1568,Invalid execution_time
10.0.218.189,/login,999,2026-03-23 16:05:12.198003,593,,,1575,Invalid status
172.16.6.178,/login,999,2026-03-23 16:05:12.988746,458,1133.0,,1583,Invalid status
10.0.176.122,/api/data,999,2026-03-23 16:05:12.988746,-681,,,1584,Invalid execution_time
172.16.129.173,/api/data,999,2026-03-23 16:05:14.070427,822,-100.0,1.0,1596,Invalid status
172.16.142.202,/login,200,2026-03-23 16:05:14.247274,-818,2294.0,2.0,1599,Invalid execution_time
10.0.108.227,/api/data,200,2026-03-23 16:05:14.771902,360,-100.0,2.0,1603,Invalid rows_scanned
10.0.8.83,/profile,200,2026-03-23 16:05:15.311024,-341,102.0,,1605,Invalid execution_time
192.168.161.108,/profile,999,2026-03-23 16:05:15.936005,480,,,1613,Invalid status
10.0.36.136,/login,500,2026-03-23 16:05:16.499084,228,-100.0,4.0,1621,Invalid rows_scanned
192.168.139.146,/api/data,200,2026-03-23 16:05:17.211715,386,-100.0,,1628,Invalid rows_scanned
10.0.197.28,/login,999,2026-03-23 16:05:17.739918,743,420.0,,1634,Invalid status
192.168.50.27,/login,200,2026-03-23 16:05:19.099734,441,-100.0,1.0,1653,Invalid rows_scanned
192.168.146.253,/profile,200,2026-03-23 16:05:19.295708,-361,,,1655,Invalid execution_time
10.0.217.35,/search,200,2026-03-23 16:05:20.286598,408,-100.0,4.0,1668,Invalid rows_scanned
10.0.230.77,/search,200,2026-03-23 16:05:20.966212,-492,4139.0,4.0,1675,Invalid execution_time
172.16.14.8,/api/data,999,2026-03-23 16:05:22.099962,774,,1.0,1689,Invalid status
172.16.79.20,/checkout,999,2026-03-23 16:05:25.489584,691,,,1725,Invalid status
10.0.34.101,/api/data,404,2026-03-23 16:05:26.096971,631,-100.0,2.0,1736,Invalid rows_scanned
172.16.56.13,/api/data,999,2026-03-23 16:05:26.428009,611,,,1739,Invalid status
172.16.117.28,/search,200,2026-03-23 16:05:26.918591,550,-100.0,,1751,Invalid rows_scanned
172.16.127.238,/profile,999,2026-03-23 16:05:28.645718,702,4028.0,3.0,1775,Invalid status
172.16.140.27,/checkout,999,2026-03-23 16:05:28.645718,462,,,1776,Invalid status
172.16.33.91,/checkout,200,2026-03-23 16:05:28.645718,700,-100.0,,1779,Invalid rows_scanned
172.16.180.147,/login,999,2026-03-23 16:05:28.788903,804,,5.0,1781,Invalid status
192.168.73.205,/login,404,2026-03-23 16:05:29.736637,412,-100.0,,1790,Invalid rows_scanned
172.16.100.135,/api/data,999,2026-03-23 16:05:29.898908,744,511.0,5.0,1795,Invalid status
172.16.144.101,/checkout,200,2026-03-23 16:05:31.405242,748,-100.0,,1814,Invalid rows_scanned
192.168.201.129,/checkout,999,2026-03-23 16:05:32.955240,186,4778.0,,1828,Invalid status
172.16.187.155,/search,999,2026-03-23 16:05:33.217516,668,4336.0,,1831,Invalid status
172.16.246.60,/search,200,2026-03-23 16:05:33.217516,-625,,,1832,Invalid execution_time
172.16.96.136,/api/data,999,2026-03-23 16:05:33.217516,621,,,1834,Invalid status
192.168.210.185,/profile,999,2026-03-23 16:05:34.100232,108,4503.0,,1841,Invalid status
192.168.163.1,/search,200,2026-03-23 16:05:35.377386,-456,160.0,,1858,Invalid execution_time
172.16.180.248,/login,200,2026-03-23 16:05:37.460517,-644,,3.0,1878,Invalid execution_time
10.0.65.161,/login,999,2026-03-23 16:05:38.230260,382,,,1890,Invalid status
10.0.200.161,/api/data,999,2026-03-23 16:05:39.239175,582,,5.0,1898,Invalid status
172.16.71.167,/profile,200,2026-03-23 16:05:39.879589,422,-100.0,5.0,1906,Invalid rows_scanned
192.168.160.18,/login,500,2026-03-23 16:05:40.521169,-77,1921.0,,1917,Invalid execution_time
192.168.230.156,/search,999,2026-03-23 16:05:40.705078,232,2017.0,,1921,Invalid status
192.168.10.136,/login,999,2026-03-23 16:05:40.839101,565,,,1924,Invalid status
192.168.238.175,/profile,999,2026-03-23 16:05:42.355030,128,,1.0,1941,Invalid status
10.0.93.220,/checkout,999,2026-03-23 16:05:42.355030,360,2100.0,2.0,1944,Invalid status
10.0.35.204,/search,200,2026-03-23 16:05:42.751415,-481,,,1946,Invalid execution_time
10.0.234.207,/search,999,2026-03-23 16:05:43.895176,270,,,1954,Invalid status
192.168.155.130,/login,999,2026-03-23 16:05:44.154630,149,,,1957,Invalid status
192.168.241.246,/search,999,2026-03-23 16:05:46.698332,161,4184.0,2.0,1984,Invalid status
192.168.166.241,/profile,200,2026-03-23 16:05:48.554848,-305,,4.0,2005,Invalid execution_time
192.168.112.67,/api/data,999,2026-03-23 16:05:48.554848,-379,2539.0,3.0,2006,Invalid execution_time
192.168.89.111,/api/data,999,2026-03-23 16:05:49.859921,387,,2.0,2020,Invalid status
192.168.222.6,/profile,999,2026-03-23 16:05:50.085240,371,-100.0,,2025,Invalid status
172.16.236.171,/login,999,2026-03-23 16:05:50.356778,553,,,2030,Invalid status
172.16.48.12,/search,200,2026-03-23 16:05:51.241335,-786,,5.0,2037,Invalid execution_time
172.16.44.138,/checkout,200,2026-03-23 16:05:51.737795,612,-100.0,3.0,2045,Invalid rows_scanned
172.16.136.74,/login,200,2026-03-23 16:05:52.566182,-618,,3.0,2050,Invalid execution_time
172.16.248.211,/login,999,2026-03-23 16:05:53.071778,823,,,2055,Invalid status
172.16.58.119,/profile,999,2026-03-23 16:05:53.695849,494,3090.0,,2061,Invalid status
192.168.24.169,/search,200,2026-03-23 16:05:54.258878,-269,,,2067,Invalid execution_time
10.0.38.19,/api/data,200,2026-03-23 16:05:56.614592,-650,,2.0,2091,Invalid execution_time
10.0.74.51,/search,500,2026-03-23 16:05:56.794671,734,-100.0,,2095,Invalid rows_scanned
192.168.118.39,/profile,999,2026-03-23 16:05:58.419701,240,,,2117,Invalid status
192.168.35.227,/checkout,999,2026-03-23 16:05:58.714837,525,,3.0,2123,Invalid status
192.168.151.78,/profile,404,2026-03-23 16:05:58.714837,-333,1788.0,,2124,Invalid execution_time
10.0.229.222,/profile,999,2026-03-23 16:05:58.826788,619,,,2128,Invalid status
10.0.47.143,/checkout,999,2026-03-23 16:05:59.684393,382,2392.0,1.0,2137,Invalid status
172.16.183.141,/search,200,2026-03-23 16:05:59.684393,-792,,,2138,Invalid execution_time
192.168.221.253,/login,999,2026-03-23 16:05:59.684393,306,722.0,,2140,Invalid status
10.0.146.241,/search,500,2026-03-23 16:06:00.952365,-608,2920.0,,2157,Invalid execution_time
172.16.149.174,/search,999,2026-03-23 16:06:07.164478,542,923.0,,2228,Invalid status
10.0.99.34,/api/data,200,2026-03-23 16:06:07.164478,-493,,,2229,Invalid execution_time
10.0.226.70,/api/data,999,2026-03-23 16:06:07.361104,455,701.0,5.0,2234,Invalid status
192.168.136.191,/checkout,500,2026-03-23 16:06:08.890137,-418,1698.0,2.0,2263,Invalid execution_time
172.16.119.179,/login,200,2026-03-23 16:06:09.595602,-1035,96.0,,2271,Invalid execution_time
172.16.215.22,/login,200,2026-03-23 16:06:09.984760,-831,,,2280,Invalid execution_time
172.16.20.23,/search,999,2026-03-23 16:06:10.233409,481,4718.0,,2283,Invalid status
192.168.77.176,/api/data,200,2026-03-23 16:06:13.084393,-626,-100.0,,2310,Invalid execution_time
192.168.28.229,/profile,999,2026-03-23 16:06:13.217969,251,2587.0,1.0,2311,Invalid status
192.168.250.12,/checkout,500,2026-03-23 16:06:13.883901,627,-100.0,,2321,Invalid rows_scanned
172.16.10.78,/api/data,999,2026-03-23 16:06:14.106052,583,,,2323,Invalid status
192.168.4.244,/search,999,2026-03-23 16:06:14.439882,540,,2.0,2326,Invalid status
172.16.90.69,/api/data,500,2026-03-23 16:06:14.971862,692,-100.0,,2328,Invalid rows_scanned
172.16.210.26,/search,200,2026-03-23 16:06:15.617960,-605,,5.0,2334,Invalid execution_time
192.168.79.222,/profile,200,2026-03-23 16:06:16.147239,-139,3728.0,,2342,Invalid execution_time
10.0.142.5,/login,999,2026-03-23 16:06:17.078596,811,,5.0,2351,Invalid status
172.16.231.124,/checkout,500,2026-03-23 16:06:17.446470,-683,,,2357,Invalid execution_time
172.16.215.30,/search,404,2026-03-23 16:06:17.726814,-581,4588.0,,2359,Invalid execution_time
